"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The bits service terminated with the following error: 
The system cannot find the file specified.","7023","0","49152","2","0","0","-9187343239835811840","34076","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","104","6356","DESKTOP-EU893EO",,"6/11/2024 9:20:39 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The server {4991D34B-80A1-4291-83B6-3328366B9097} did not register with DCOM within the required timeout.","10010","0","0","2","0","0","-9187343239835811840","34075","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","1700","DESKTOP-EU893EO","S-1-5-21-644475733-3950108919-2345254842-1001","6/11/2024 9:20:38 PM","b2ad641e-5272-4b91-9b16-baaadd0f1b24",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{9A4948D9-13FC-4FAC-B60A-FBA6EE0FB11C}
 and APPID 
{50E1C3FD-EC35-490E-9CCF-C68F9AE91919}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","10016","0","0","3","0","0","-9187343239835811840","34074","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","18000","DESKTOP-EU893EO","S-1-5-19","6/11/2024 9:18:40 PM","2c0787a2-6473-4fa6-a333-b87b08ed5116",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The server {E60687F7-01A1-40AA-86AC-DB1CBF673334} did not register with DCOM within the required timeout.","10010","0","0","2","0","0","-9187343239835811840","34073","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","18000","DESKTOP-EU893EO","S-1-5-19","6/11/2024 9:18:40 PM","f9c30fbf-35da-4c5e-a604-8681ee61f1ff",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The bits service terminated with the following error: 
The system cannot find the file specified.","7023","0","49152","2","0","0","-9187343239835811840","34072","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","104","6192","DESKTOP-EU893EO",,"6/11/2024 9:18:38 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-EU893EO\basti SID (S-1-5-21-644475733-3950108919-2345254842-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","10016","0","0","3","0","0","-9187343239835811840","34071","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","16688","DESKTOP-EU893EO","S-1-5-21-644475733-3950108919-2345254842-1001","6/11/2024 9:17:56 PM","63c829d4-2a5b-487a-8ef6-e5fc552fe457",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The wuauserv service terminated with the following error: 
The system cannot find the file specified.","7023","0","49152","2","0","0","-9187343239835811840","34070","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","104","4412","DESKTOP-EU893EO",,"6/11/2024 9:16:40 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The server {E60687F7-01A1-40AA-86AC-DB1CBF673334} did not register with DCOM within the required timeout.","10010","0","0","2","0","0","-9187343239835811840","34069","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","18000","DESKTOP-EU893EO","S-1-5-19","6/11/2024 9:16:40 PM","2c494e39-d617-495e-a0b4-c9639694a8a4",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Windows Remote Management (WS-Management) service was changed from demand start to auto start.","7040","0","16384","4","0","0","-9187343239835811840","34068","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","104","6356","DESKTOP-EU893EO","S-1-5-21-644475733-3950108919-2345254842-1001","6/11/2024 9:16:19 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The WinRM service is listening for WS-Management requests. 

 User Action 
 Use the following command to see the specific IPs on which WinRM is listening: 

 winrm enumerate winrm/config/listener","10148","0","7","4","0","0","36028797018963968","34067","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","System","0","0","DESKTOP-EU893EO",,"6/11/2024 9:16:20 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
