"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Attempted to add URL (http://+:5985/wsman/) to URL group (0xFE00000420000001). Status: 0x0. Process Id 0x40B8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-20","113","0",,"4","5","122","4611686018427387968","11884","Microsoft-Windows-HttpService","dd5ef90a-6398-47a4-ad34-4dcecdef795f","System","16568","6548","DESKTOP-06BBDHU","S-1-5-20","6/11/2024 2:14:25 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","AddUrl","HTTP Configuration Property Trace Task","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Attempted to add URL (http://+:47001/wsman/) to URL group (0xFE00000420000001). Status: 0x0. Process Id 0x40B8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-20","113","0",,"4","5","122","4611686018427387968","11883","Microsoft-Windows-HttpService","dd5ef90a-6398-47a4-ad34-4dcecdef795f","System","16568","6548","DESKTOP-06BBDHU","S-1-5-20","6/11/2024 2:14:25 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","AddUrl","HTTP Configuration Property Trace Task","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Removed URL (http://+:5985/wsman/) from URL group (0xFC00000A20000003). Process Id 0x3ED4 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-20","114","0",,"4","5","123","4611686018427387968","11882","Microsoft-Windows-HttpService","dd5ef90a-6398-47a4-ad34-4dcecdef795f","System","16084","14512","DESKTOP-06BBDHU","S-1-5-20","6/11/2024 2:14:24 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","RemUrl","HTTP Configuration Property Trace Task","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Removed URL (http://+:47001/wsman/) from URL group (0xFC00000A20000003). Process Id 0x3ED4 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-20","114","0",,"4","5","123","4611686018427387968","11881","Microsoft-Windows-HttpService","dd5ef90a-6398-47a4-ad34-4dcecdef795f","System","16084","14512","DESKTOP-06BBDHU","S-1-5-20","6/11/2024 2:14:24 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","RemUrl","HTTP Configuration Property Trace Task","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The WinRM service is listening for WS-Management requests. 

 User Action 
 Use the following command to see the specific IPs on which WinRM is listening: 

 winrm enumerate winrm/config/listener","10148","0","7","4","0","0","36028797018963968","11880","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","System","16568","0","DESKTOP-06BBDHU",,"6/11/2024 2:14:25 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The WinRM service is not listening for WS-Management requests. 

 User Action 
 If you did not intentionally stop the service, use the following command to see the WinRM configuration: 

 winrm enumerate winrm/config/listener","10149","0","7","3","0","0","36028797018963968","11879","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","System","16084","0","DESKTOP-06BBDHU",,"6/11/2024 2:14:24 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","11878","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","1036","12296","DESKTOP-06BBDHU","S-1-5-18","6/11/2024 2:14:15 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Attempted to add URL (http://+:5985/wsman/) to URL group (0xFC00000A20000003). Status: 0x0. Process Id 0x3ED4 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-20","113","0",,"4","5","122","4611686018427387968","11877","Microsoft-Windows-HttpService","dd5ef90a-6398-47a4-ad34-4dcecdef795f","System","16084","13948","DESKTOP-06BBDHU","S-1-5-20","6/11/2024 2:13:32 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","AddUrl","HTTP Configuration Property Trace Task","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Attempted to add URL (http://+:47001/wsman/) to URL group (0xFC00000A20000003). Status: 0x0. Process Id 0x3ED4 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-20","113","0",,"4","5","122","4611686018427387968","11876","Microsoft-Windows-HttpService","dd5ef90a-6398-47a4-ad34-4dcecdef795f","System","16084","13948","DESKTOP-06BBDHU","S-1-5-20","6/11/2024 2:13:32 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","AddUrl","HTTP Configuration Property Trace Task","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Removed URL (http://+:5985/wsman/) from URL group (0xFC00000A20000002). Process Id 0xBC8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-20","114","0",,"4","5","123","4611686018427387968","11875","Microsoft-Windows-HttpService","dd5ef90a-6398-47a4-ad34-4dcecdef795f","System","3016","5968","DESKTOP-06BBDHU","S-1-5-20","6/11/2024 2:13:32 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","RemUrl","HTTP Configuration Property Trace Task","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
